CON_TICKET_ID,VIC_DESCRIPTION,CLM_DESCRIPTION,CON_ISSUE_DATE,VKL_DESCRIPTION
11S00235,Expired Time,Law Lot,15-01-20,Mercendes-Benz
11S00236,Parking in Improper Location,Life Sciences Centre,15-01-21,Chevrolet
11S00237,Expired Time,Walter Gage Road,15-01-21,Acura
11S00238,Parking Without Authorization,Law Lot,15-01-21,Chevrolet
11S00239,Parking Without Authorization,Law Lot,15-01-21,Audi
11S00240,Parking Without Authorization,Law Lot,15-01-21,Toyota
11S00241,Parking Without Authorization,Fraser River Parkade,15-01-21,Nissan
11S00242,Expired Time,Marine Drive Meters,15-01-21,BMW
11S00243,Expired Time,Armouries Lot,15-01-21,Hyundai
11S00244,Expired Time,Armouries Lot,15-01-21,Mercendes-Benz
11S00245,Expired Time,Armouries Lot,15-01-21,Nissan
11S00246,Expired Time,Armouries Lot,15-01-21,Mini
11S00247,Vehicle in Pedestrian Area,Main Mall Road,15-01-22,General Motors
11S00248,Parking Without Authorization,Marine Drive Lot,15-01-22,Mercendes-Benz
11S00249,Parking Without Authorization,Marine Drive Lot,15-01-22,Mitsubishi
11S00250,Parking in Improper Location,Lower Mall Road,15-01-22,Chevrolet
11S00251,Parking in Improper Location,Lower Mall Road,15-01-22,Ford
11S00252,Parking Without Authorization,Fraser River Parkade,15-01-22,Audi
11S00253,Parking Without Authorization,Memorial Lot,15-01-22,Suzuki
11S00254,Parking Without Authorization,Armouries Lot,15-01-22,Volvo
11S00255,Parking Without Authorization,Armouries Lot,15-01-22,Mercendes-Benz
11S00256,Expired Time,Fraser River Parkade,15-01-22,Nissan
11S00257,Expired Time,Acute Care Unit Lot,15-01-22,Land Rover
11S00258,Parking Without Authorization,Sauder Lane,15-01-22,BMW
11S00259,Parking Without Authorization,Marine Drive Lot,15-01-22,Dodge
11S00260,Expired Time,B4 LOT,15-01-23,Ford
11S00261,Parking Without Authorization,B4 LOT,15-01-23,Nissan
11S00262,Expired Time,B4 LOT,15-01-23,Dodge
11S00263,Parking Without Authorization,GSAB Lot,15-01-23,Mazda
11S00264,Expired Time,GSAB Lot,15-01-23,Subaru
11S00265,Expired Time,Ritsumeikan Lot,15-01-23,Toyota
11S00266,Parking Without Authorization,Powerhouse Assigned,15-01-23,Mitsubishi
11S00267,Parking Without Authorization,Gas Gun Lot,15-01-23,Toyota
11S00268,Parking Without Authorization,Gas Gun Lot,15-01-23,Honda
11S00269,Parking Without Authorization,Gas Gun Lot,15-01-23,Toyota
11S00270,Expired Time,GSAB Lot,15-01-23,Honda
11S00271,Expired Time,GSAB Lot,15-01-23,Toyota
11S00272,Parking Without Authorization,University Boulevard,15-01-23,Subaru
11S00273,Expired Time,GSAB Lot,15-01-23,Acura
11S00274,Parking Without Authorization,Frank Forward Lot,15-01-24,Mercendes-Benz
11S00275,Parking Without Authorization,Ritsumeikan Lot,15-01-24,BMW
11S00276,Expired Time,Thunderbird Residence,15-01-24,Ford
11S00277,Vehicle in Service Zone,Marine Drive Residences,15-01-24,Honda
11S00278,Parking Without Authorization,Marine Drive Meters,15-01-24,General Motors
11S00279,Parking Without Authorization,Sauder Lane,15-01-24,Audi
11S00280,Parking Without Authorization,Sauder Lane,15-01-24,Porsche
11S00281,Expired Time,Old Fire Hall Meters,15-01-24,Mazda
11S00282,Expired Time,Fraser River Parkade,15-01-24,Nissan
11S00283,Parking in Improper Location,Forest Science Centre,15-01-24,Toyota
11S00284,Parking Without Authorization,East Mall Road,15-01-24,Ford
11S00285,Vehicle in Pedestrian Area,Thunderbird Residence,15-01-24,Nissan
11S00286,Parking Without Authorization,C2 LOT,15-01-24,Volkswagen
11S00287,Parking Without Authorization,C2 LOT,15-01-24,Toyota
11S00288,Parking Without Authorization,Winter Sports Lot,15-01-24,General Motors
11S00289,Parking Without Authorization,Winter Sports Lot,15-01-24,Volvo
11S00290,Parking Without Authorization,Wright Field Lot,15-01-24,Porsche
11S00291,Expired Time,Wright Field Lot,15-01-24,Toyota
11S00292,Parking Without Authorization,Wright Field Lot,15-01-24,Ford
